Signal ID,Edges,Avg daily volume,Name,Notes
1414,"[1414,1426]",12863,Piedmont Rd @ Scott Rd,Source
1426,"[1426,1427]",21457,q,
1427,"[1427,1428]",24364,a,
1428,"[1428,1429]",29758,s,
1429,"[1429,1430]",16754,d,
1430,"[1430,1431]",25205,a,
1431,"[1431,1432]",9957,a,
1432,"[1432,1433]",27113,f,
1433,"1433,1434]",27086,d,
1434,"[1434,1435]",10992,d,
1435,"[1435,1436]",20067,d,
67370,"[1430, 6730]",19978,f,
,"[67370,1434]",19889,,
67147,"[6730,67147]",19801,f,
6057057,"[67147,6057057]",19712,f,
6348,"[6057057,6348]",19623,f,
,"[6348,6332]",19534,,
6332,"[6332,6331]",19446,f,
6331,"[6331,6330]",19357,f,
6330,"[6330,6329]",19268,f,
6329,"[6329,6324]",19179,f,
6324,"[6324,6057201]",19091,f,
6057201,"[1435,6057201]",19002,f,
,"[6057201,6328]",18913,,
6328,"[6328,6327]",18824,f,
6327,"[6327,6326]",18736,f,
6326,"[6326,6325]",18647,f,
6325,"[6325,6319]",18558,f,
6319,"[6319,6235]",18469,f,
6235,"[6235,6057202]",18381,f,Sink
6057202,"[6057202,6057203]",18292,f,
6057203,"[6057203,6235]",18203,f,
67370,"[67147,67370]",18114,f,
,"[67370,1434]",18026,,
,"[1430,6730]",17937,,